size,bedrooms,price
2854,5,469092
1204,5,272720
1785,4,336090
5880,1,822032
1869,1,279051
3824,1,496375
4344,2,556686
4149,4,620790
1427,5,302927
2076,5,364744
3798,4,575267
5099,4,687609
5921,1,725338
4539,6,709028
4623,3,646107
1100,6,269286
3184,6,549865
1039,1,195534
2850,2,431366
2609,5,462379
4688,4,658188
3532,4,534068
4102,1,525720
3876,2,538130
2166,3,355335
5502,2,760640
2638,2,414404
3394,1,486232
4319,2,602098
1576,1,244620
4294,3,567195
366,1,109489
3863,1,549817
4984,6,757463
369,5,166483
1210,1,204283
4278,3,563762
1461,6,313072
3439,3,509383
1804,3,305182
5186,4,679354
2878,1,434935
2272,2,350479
5667,6,862756
1799,4,346633
4082,4,606485
1922,3,309690
3260,6,540837
4318,3,622078
3311,5,535090
2522,6,463202
1547,2,271886
2812,2,411588
3154,2,461812
5877,4,785825
5337,5,811162
682,6,222362
5256,6,802303
5350,6,812571
4807,5,699708
4909,4,706508
615,3,159122
439,5,182733
3387,6,578410
4342,5,652806
3026,2,413834
4574,4,642273
762,3,176119
1957,6,365698
1379,3,263043
2411,5,403610
1533,4,291080
5573,6,838783
2994,6,479377
765,5,226000
4978,4,727718
2766,2,420343
5131,5,746777
1967,1,311995
5610,6,832142
4215,4,635190
1969,6,373488
5904,6,829184
5105,2,743773
2848,6,483468
3542,4,499482
5065,5,771101
3393,1,497949
1607,1,265849
4453,5,687440
3214,4,490066
1664,5,324526
5737,4,767078
4982,6,744544
5725,6,871128
3104,3,450123
1490,2,252458
4533,5,670695
5507,1,759582
2266,5,409673
3571,5,580002
5143,5,765034
5603,4,732809
339,3,138448
4932,1,673749
3710,1,539349
507,6,208506
1506,2,258881
1358,5,287318
536,1,136064
5619,3,803298
684,1,149034
2188,6,402360
2425,3,367895
1494,2,261759
4016,5,608736
4661,6,730804
3127,3,469671
4189,1,609238
3715,2,515085
1531,1,232866
4212,2,619405
3623,2,497390
3871,1,524806
5221,5,738474
2133,1,328187
934,3,217280
3913,3,576938
5204,2,734759
1791,1,280572
3716,5,556273
1709,3,295305
1690,1,256194
5832,4,845025
2493,5,446692
4964,2,710360
3699,2,515994
3965,6,606856
4248,6,666492
4768,1,589547
1990,4,354621
1246,6,288725
1629,1,245197
2539,6,447741
2229,3,350549
1291,1,229780
5202,4,740884
834,6,229847
587,1,130123
5793,2,821287
856,6,231943
4260,2,571253
2959,5,504886
1218,4,268777
4150,4,623576
1073,1,206526
1637,3,308563
3946,6,637435
5439,3,725624
3251,3,461037
418,4,153285
5901,3,790257
3994,2,544525
5536,5,801535
5638,6,853619
1312,3,247995
622,1,137074
4403,4,592441
3625,3,532100
1215,5,265650
4814,5,690712
881,1,173048
2482,1,337256
5347,2,674793
311,1,97222
5793,1,794892
2829,3,460181
5085,2,734767
4383,1,604192
1051,4,243383
3409,5,533163
3184,5,498432
4917,5,755521
5459,5,774567
3072,6,476920
5135,3,662274
618,2,161457
2065,6,375147
5900,3,751481
5638,4,816687
948,1,176358
1538,3,277306
2469,2,401948
4516,3,630971
5382,5,750491
2501,6,462493
2388,1,340214
3672,5,548177
5897,1,749540
4046,1,563473
1747,4,309031
861,5,230817
2937,2,412179
3518,1,450243
5574,5,835849
4341,2,559492
5090,3,746134
1044,4,237230
5811,1,756380
1135,4,246891
1135,4,237398
2891,2,433900
3630,1,512691
1006,5,238460
5004,3,663423
5725,6,805935
3887,5,581313
2865,5,481716
3727,6,549824
1239,5,285536
4727,3,664179
5495,6,750940
5681,3,825294
2003,2,334198
4121,1,518390
303,1,102037
969,5,239250
5475,3,735165
3467,6,552951
3666,2,496977
5890,6,817765
3727,3,570720
2679,5,432204
3811,3,517739
4851,4,697199
1771,3,323065
4127,6,672670
722,4,205262
1752,5,332680
1072,2,196111
1679,1,265976
2653,1,397496
5688,5,767883
3789,4,584298
1886,4,351218
4937,1,635650
4713,5,645921
480,3,158181
603,2,158948
3761,2,520496
695,5,201087
4813,2,668471
3547,1,453397
3617,1,535865
3871,3,543331
4227,2,571913
650,5,200909
593,2,156286
2309,2,353720
4587,5,665651
4774,4,667605
2654,6,466061
4467,2,655750
342,2,122519
1299,2,247679
4598,1,660844
4168,6,598977
4707,4,660776
3067,4,503782
2905,3,426048
4403,2,622680
949,4,213124
1449,5,306365
1676,6,346960
5555,1,745864
812,5,218325
859,1,178370
602,3,161660
3250,2,444964
1103,6,278508
3725,4,544248
1244,3,253911
5748,2,770529
1372,1,231874
5257,5,727226
1565,2,271319
3528,6,582271
3347,3,465404
3081,4,458212
5277,5,711480
4909,6,750671
4350,6,666823
3462,2,498778
3651,3,533101
3573,6,572683
1660,3,276082
2840,5,467870
2142,6,409919
2399,1,338407
1298,2,234830
4198,5,663722
3506,2,505635
4295,1,547540
768,2,174707
3135,5,523706
5480,3,711513
4260,2,588742
625,4,175779
2058,5,369111
3917,2,519851
1138,6,288011
4661,5,714023
3329,6,554729
5319,1,701391
4402,1,552332
4888,2,696749
1089,4,226568
4412,2,569707
3428,3,532281
5397,2,769193
4033,6,591540
869,6,246628
4414,6,629036
1666,4,291132
3376,4,544132
5487,2,699958
1458,2,246127
4430,3,613698
2483,4,398273
5497,5,830477
2715,2,384961
5668,2,813378
3510,5,553219
2950,5,504807
3413,3,539173
3467,4,523861
1540,2,272170
3175,1,470006
1468,5,310032
2921,3,423567
1352,1,216025
2571,2,402817
2788,4,471226
2240,6,413446
1481,6,329315
4005,2,550847
5843,1,815398
1647,5,317575
4360,5,634531
3363,4,546822
956,3,219847
1115,6,273223
5325,3,683290
2176,6,418750
2743,6,480396
5295,3,779746
2775,5,431868
1971,6,364568
3585,4,517817
5824,4,833149
981,1,191101
5921,3,769896
1214,4,245353
4104,2,577794
2882,6,462535
5795,2,772447
2717,2,390658
627,5,201699
5552,2,736450
5336,3,732841
2664,1,410304
5424,1,683972
3550,4,504272
4107,2,535552
4341,2,579997
5300,2,770347
871,4,204289
4158,3,561821
4179,2,538214
777,4,213295
2461,6,443391
705,5,215155
3806,4,603353
4675,5,684486
1182,5,253501
3081,3,471819
681,1,153666
1235,2,224856
5834,6,892158
4620,5,661894
5816,1,733951
4335,4,586174
2972,1,424599
1698,1,257849
1608,1,260213
1324,1,234122
4512,3,657021
1568,4,314076
3933,5,572296
705,2,168360
2611,4,422706
1230,5,276053
1208,6,286079
749,3,185971
5172,4,739857
1757,3,325330
3785,5,614734
3336,3,475606
2204,5,408414
4472,3,677306
3820,5,557999
3884,5,619510
2749,1,425178
772,4,198024
737,2,163677
2718,3,408741
744,2,164374
784,4,214558
2783,2,408976
4467,1,562736
933,6,262006
4485,6,691829
4266,6,683901
405,6,187119
4983,6,741199
4625,5,714047
5544,5,823092
5320,2,769038
2233,5,373899
3003,2,469597
316,6,176730
2579,2,372472
4190,6,675782
3634,6,605770
549,2,149181
5427,6,763719
325,1,98456
2547,1,389791
2211,3,356294
4203,3,628566
4702,5,733576
3854,5,561694
4521,6,652268
2968,1,418616
4156,5,617226
1618,5,331960
1234,4,243881
1313,3,247127
3958,6,619074
5366,4,800895
2221,1,339627
3522,2,535028
2324,3,356297
3224,2,444902
4215,1,576392
3887,3,535064
3391,3,530995
4107,5,648787
4952,5,769625
2825,3,454634
5394,2,723071
1924,2,316731
3292,2,446992
4647,1,664727
4472,2,645473
933,1,166244
5836,6,783588
2629,6,440084
2537,1,384146
5233,4,687730
5610,1,717882
5332,3,761222
4956,6,767806
2914,6,464648
2117,1,315928
2646,3,393788
5307,3,727146
5816,6,803634
1513,6,323806
1106,5,262701
2830,4,420800
5599,4,807998
2465,5,429670
5285,1,711924
3382,6,551780
4963,4,672409
1628,4,316255
4859,4,710192
5964,3,758671
1509,4,289773
1156,1,215189
1899,5,349893
1105,5,247353
3765,3,516997
4853,3,713973
2643,5,469002
3687,3,574575
515,1,122444
1689,3,306462
958,5,250479
3433,1,454654
3877,2,551803
4652,2,616419
2293,5,406004
1594,1,247902
2843,4,423757
5892,1,726977
1596,4,320679
1943,1,309752
3629,4,510205
1823,1,282300
1293,2,247225
5656,4,775818
2358,2,341799
3480,3,504915
1859,2,313179
302,2,109348
5522,6,858055
3418,2,469768
2290,4,371625
466,5,174890
5276,3,772303
4830,6,678877
2580,1,399656
2824,5,457804
1968,6,371784
2933,3,443490
2113,4,363589
4409,2,625693
2555,5,430973
3709,3,525872
4795,1,686889
3863,3,594793
1066,6,273714
5458,1,728910
3522,6,570282
758,1,163707
2743,2,409917
3678,3,517954
2228,6,391603
2463,2,364791
4480,5,650434
448,5,178065
4186,2,579043
4706,6,662304
355,4,148654
659,1,136371
3154,5,504036
1185,5,254600
2094,5,388336
2089,2,346122
1871,6,346229
1943,3,340874
489,5,175346
823,5,230578
1926,1,293268
1342,4,263713
3069,2,459626
2242,4,384742
4996,3,737462
2490,6,421855
2531,5,444829
884,5,232576
5954,6,912268
3343,3,480554
3511,1,519859
1976,6,357059
2051,6,405050
4967,4,684709
2043,6,375302
3525,2,471657
2809,3,453650
4326,2,640850
2176,3,341040
5278,4,733646
3575,5,585877
4851,2,654119
5431,1,751516
5958,1,803242
4374,6,629848
4100,5,620911
5615,5,801895
2048,3,358177
1870,3,307078
5586,4,755676
5475,1,670100
3341,3,521327
1148,1,216232
669,3,183269
1127,3,229173
5211,4,741472
5146,4,688189
609,4,177768
1283,2,249204
5351,6,734828
2932,3,474120
5803,3,819146
1491,5,306948
1274,4,270480
5984,1,801020
2221,5,407149
1223,3,244800
4923,4,728002
1624,2,280023
4572,2,634411
2251,6,396665
3029,4,451724
3826,5,598709
2996,3,476829
5333,1,690686
2939,4,494124
732,2,158598
3210,5,535200
1344,4,279538
2476,1,361568
4260,5,628853
3532,4,505691
3910,5,584302
2514,4,392094
2901,6,501626
2026,6,397884
3181,5,502049
1033,3,221612
4312,6,662316
1739,2,284612
4343,2,621337
510,5,183514
4183,6,672697
954,3,196685
2098,5,391284
4390,3,631554
2112,3,332641
3430,3,533047
4022,5,602940
3824,3,558401
1659,5,306291
3950,4,586118
3772,1,552149
4839,1,688046
5060,3,671928
4479,4,631486
1868,4,342277
1521,4,303088
3873,1,544446
3687,6,562265
5229,2,743991
4741,1,587360
1222,3,249701
1311,4,276237
5701,6,804173
3338,6,571191
4699,3,703836
3379,5,550145
2751,1,388353
4095,5,652272
2109,6,378298
5589,3,718887
5983,6,864846
3130,1,437925
5152,1,667173
2851,4,440547
618,3,169666
4754,1,619041
3937,1,575831
1666,5,310993
5908,1,795310
4292,6,643224
590,1,141303
5566,1,733522
407,3,145239
4129,1,575672
4557,5,684676
570,1,139283
4215,3,620231
2173,6,388546
377,4,149061
553,1,133982
2501,6,446632
1002,4,242252
1141,5,259398
1078,2,195021
4242,5,609397
2696,6,442567
3482,5,522189
2099,1,306410
1652,4,297370
4272,4,658090
3544,5,518552
4976,1,675466
3801,6,593108
5615,5,852309
5236,4,740090
4787,5,718104
609,1,142817
2894,5,441405
1451,2,263612
5355,1,730222
3982,1,559876
2948,5,475511
993,2,206569
5055,6,750679
4697,3,642339
4190,3,576904
2898,3,418654
5014,2,648088
2782,4,452827
5151,4,705595
2485,4,426828
4552,6,718550
4873,2,676426
3563,6,558658
3087,1,442246
2971,1,453056
5539,4,793461
1545,3,272037
599,6,211887
1359,3,265800
360,6,182929
1130,5,273729
930,2,185569
4783,5,740712
4741,4,707080
487,6,203453
1170,5,261831
4182,6,652516
2709,6,458879
614,3,166415
5684,6,857967
5607,3,807858
4182,2,546707
986,6,260985
1059,4,228813
1248,1,204068
1488,1,252811
3341,3,523900
5762,6,797716
3070,1,451655
3306,6,559360
3564,2,483391
4203,3,625988
5408,6,823173
3198,2,456588
5061,2,662249
705,6,233173
520,5,195527
3168,2,469994
5827,6,890435
5057,5,727598
733,6,231759
3068,6,526978
424,4,162086
3662,3,521040
5624,5,775128
3491,1,490026
4782,3,682471
1392,5,283202
477,1,124767
5617,4,793165
2344,2,383002
1834,3,321453
1550,5,313008
4927,1,663770
3824,1,559875
5939,3,825328
4641,4,638633
2388,1,349948
5154,2,739135
4417,6,690012
4693,1,647124
2744,6,495515
3326,2,503479
1269,4,263919
5716,4,830435
659,1,150131
1683,1,267685
3868,4,565024
1709,5,335035
4365,6,641652
656,6,225787
4929,6,744115
2336,4,410063
4082,5,602246
2328,6,416641
3913,6,625915
3742,2,512385
3372,6,509045
5820,4,851216
5078,1,659647
327,1,103686
4031,4,601507
3018,2,422350
3531,6,548232
4212,2,610246
5955,6,864867
3333,4,513628
2881,1,436054
1288,4,264894
1779,3,295518
2329,2,356803
649,3,179544
3972,3,598939
1736,3,321427
2531,5,429182
5851,2,767962
3555,2,479639
4219,6,669199
1317,4,257130
2258,3,385703
4965,6,786034
4837,2,629927
429,2,125330
5309,1,740463
2997,2,415545
2471,4,409493
556,3,170763
396,3,142819
5714,4,791039
2674,3,409191
5014,6,772356
4984,6,762105
5182,4,763993
5224,2,754556
1215,3,252894
606,3,160520
4113,6,628001
3114,1,447129
729,5,220148
2437,5,411345
2994,1,441152
1899,4,341199
2954,3,473616
714,3,179909
4401,2,627715
5062,5,697093
2043,4,377703
4402,5,623016
2029,4,333222
5662,2,740223
2376,3,379977
2122,5,367091
1925,6,359066
392,5,176886
4889,2,679547
3015,1,432607
3489,1,469059
929,5,224079
3395,2,482475
3284,4,493232
2141,1,336767
2807,4,474134
5987,4,815642
4986,1,693749
3587,6,594771
5828,1,735239
2629,1,380818
942,3,214688
1768,6,339578
3320,4,538381
5078,5,763573
3524,1,506053
3370,2,457495
1612,4,322651
4488,5,672309
1343,6,293428
2216,6,407376
4817,5,727850
5397,4,777916
5082,4,720057
782,1,169316
4743,4,629996
1420,1,230170
1494,2,276067
1989,6,375479
5785,1,734343
1526,1,251587
1293,3,257920
4469,6,655284
3844,6,596533
517,2,140774
1784,5,329328
1344,1,237494
437,5,179561
3283,2,478212
362,3,139160
5850,5,828303
5280,2,720120
1329,2,246761
1366,6,297897
4303,4,604988
712,6,234189
4494,4,662302
2505,3,394830
4194,6,684035
3979,2,570105
2470,1,342485
4210,4,613428
3648,3,546732
4941,4,653540
3116,4,501070
3001,3,465205
4674,4,668058
1338,2,239194
3413,3,512123
1300,6,300383
4363,5,640718
3347,5,512525
3948,5,568553
3804,6,596019
5222,5,752187
3119,6,497188
4370,1,591446
3024,3,429641
3704,3,576059
955,6,255730
1457,6,330757
2343,4,381827
1449,4,290820
1959,2,296535
4999,6,791129
457,2,130355
2034,4,373100
3781,3,528739
5337,3,776084
2881,1,401190
4333,5,645066
3490,4,521493
5161,5,743478
1724,2,268268
5834,5,823819
5147,6,716040
3816,6,623694
2333,6,425213
2923,6,487951
4527,5,627649
5059,2,681008
5717,3,753582
1762,4,311555
5556,1,697510
4323,3,622533
3711,4,517902
2281,3,394524
2440,3,407981
3400,6,563589
3563,1,502476
5746,4,837308
1839,1,304946
1879,6,382145
3674,4,571378
2027,2,323189
1917,1,308576
3402,3,475268
489,1,129224
922,3,217534
2891,3,441393
5412,3,758153
1114,5,262495
3132,5,530215
1091,3,217704
3680,5,572176
2045,6,373735
5938,4,814705
903,5,238725
1272,2,236278
351,5,173000
2962,2,460690
752,6,220155
5007,1,714503
3512,6,578190
3231,5,480809
2844,4,449812
4583,5,646366
5669,5,762983
5690,5,817480
4951,2,679191
4480,5,674958
4203,1,572604
741,4,194834
4006,4,631800
1977,6,360193
2724,4,441087
5138,4,733473
1457,6,328342
947,6,249450
2276,2,356702
4023,6,602947
4709,6,683005
2453,6,425103
5986,4,889619
4976,5,714445
5500,6,758022
2910,5,457245
3678,4,512514
4967,2,665811
1624,4,292199
4492,5,663685
3909,6,586910
2412,4,425611
1615,4,298261
2182,6,409584
3281,5,534912
1446,2,236751
4060,5,579576
5381,3,736488
5111,6,789096
2651,4,410688
5775,1,725445
4019,1,584163
5575,1,774574
1468,1,231629
4289,3,607545
4554,1,564202
1219,3,247452
2261,6,392827
3715,1,523549
5959,3,849579
2555,1,366969
4153,5,650308
2601,3,394508
2041,2,337195
4484,2,600026
2618,4,406773
5155,4,688875
843,4,223114
1757,3,318714
3696,2,532493
1007,1,188503
5499,1,772469
4414,3,602539
2166,5,377432
2210,4,352147
3396,2,478543
2574,6,431874
5110,4,740054
1091,2,201707
4744,2,601008
2733,4,423120
4244,4,643331
2692,5,419433
5909,1,788980
1799,4,338829
4194,3,583953
5569,3,773723
912,4,223507
2277,3,347156
2971,5,454547
5469,4,762287
5888,5,859999
2434,4,402989
4504,4,611042
2562,3,394357
1946,1,296565
4526,6,668365
4561,5,649772
5137,1,671971
947,2,186862
5968,2,831362
5341,4,722066
893,1,162562
521,5,185087
667,5,197031
1309,6,285896
3848,6,626197
1434,6,327847
493,3,154716
2120,2,350364
4330,2,596433
5658,3,771412
1005,1,198792
2404,5,436817
3537,3,501142
1074,4,233468
5484,1,772758
2168,5,386074
4593,6,738695
4719,4,715844
5791,2,748527
802,6,227750
402,5,170974
5659,4,783310
1335,4,278614
487,6,189945
4729,4,661331
5735,2,800993
1464,1,222867
5411,2,739559
4219,3,623998
2499,6,452232
2174,2,336031
642,1,139067
4017,3,546442
2814,6,482058
5792,3,782715
4518,6,673967
2164,5,401918
2330,2,362250
2372,3,365176
1698,5,347126
575,5,194198
2984,5,510977
5168,5,740299
1367,2,236398
3699,3,530402
4672,3,609118
605,5,196962
4873,6,702545
943,5,240219
1064,6,267742
5760,2,813112
3110,6,512952
3988,5,620438
1290,1,234227
2014,5,367376
1231,4,245056
5467,6,806366
988,3,204474
2622,6,450786
757,5,218348
1624,1,276851
4101,3,616576
5257,3,762407
4833,3,642458
5121,6,705503
4546,1,567909
5900,6,841359
4775,6,690887
5372,6,775036
1169,4,260973
1113,4,243123
1253,3,234287
4710,2,644451
1213,1,224837
1070,6,270581
811,2,166113
2680,4,420936
3291,4,514091
2727,4,448072
963,2,202365
3843,5,623969
2359,2,352087
2015,5,361362
1335,5,281254
4722,4,663473
2586,6,442224
4463,3,605766
4676,4,635535
2686,3,440147
5439,5,806290
783,5,225071
5030,4,755033
4054,4,563677
1077,1,196943
3123,3,483356
1897,2,310400
1841,2,320793
3735,4,572166
1753,6,351755
2439,5,391979
5864,2,780158
4401,2,587098
3311,5,545493
2546,1,355354
1175,1,216221
2329,6,422397
1117,5,270647
4161,1,540735
1826,4,325211
635,4,195679
4748,2,643482
4539,6,637577
4036,1,564263
5250,4,685908
4074,2,574726
5200,5,758647
3590,2,530879
1314,3,244041
5143,3,737937
1968,6,373183
3098,1,416035
5872,5,814513
396,3,148741
1419,5,309326
2302,1,322291
1321,2,224076
2912,2,439541
713,5,211881
5887,5,823930
3046,4,470494
1976,4,358647
4079,1,564686
5539,1,770034
5148,6,783605
2961,4,478598
5199,1,741970
2758,2,422608
2926,6,475106
909,2,177925
902,5,224333
5988,2,783213
3093,1,435546
4033,2,598491
3015,6,475498
823,5,214371
1791,1,283299
784,2,180947
554,4,182140
2951,2,458480
3660,4,548563
401,2,126592
954,4,234326
5516,5,733773
1837,6,359389
4777,5,721521
488,6,190624
2511,2,381998
746,6,222264
4064,3,612009
2331,3,364991
5019,4,667581
4945,2,669322
2818,4,474011
5738,1,733234
4911,6,704120
3769,1,501958
3923,3,588944
2093,3,356923
5673,6,846264
2361,6,418291
1160,6,265568
3741,6,555599
3591,5,572636
5262,1,742116
989,1,174228
345,1,102816
620,3,160191
2996,3,441174
3698,4,558900
3127,6,527811
2921,1,439662
1603,5,315292
3205,4,511378
3854,3,570347
710,5,218937
5905,1,758927
4867,4,743669
1523,4,300515
5710,4,811084
1348,1,215445
4434,3,664408
2201,3,382088
5695,3,788760
1120,3,242112
3319,4,530051
641,5,198585
3882,1,526777
4681,1,627446
3028,6,524567
1242,6,292640
5278,2,671041
3328,2,499759
5235,1,694674
1411,2,263594
389,5,176268
5942,6,901693
529,2,142604
3851,2,539892
5927,5,823507
4785,5,699551
4605,6,711245
3291,6,514220
741,2,161783
3724,1,507394
2329,5,416717
373,6,177631
2754,1,370181
1995,4,345151
3034,4,479515
4618,1,650048
4823,2,635489
4553,3,685526
1686,4,307187
1111,5,244868
1050,3,230700
4748,3,644679
3959,5,558613
2576,2,364658
5521,5,781117
5357,3,792746
4610,4,631303
662,4,184556
4066,1,589705
1964,3,343908
1087,3,224983
3815,4,554725
2167,1,327315
3791,1,524309
2606,1,353280
1811,1,275063
2586,5,427202
876,1,162962
3288,5,535685
5609,2,734865
2432,6,416031
3389,6,548752
3680,2,501673
1944,3,312631
2674,6,465309
1150,5,258269
5494,5,840692
5298,2,730847
584,5,198731
5550,4,796911
4304,3,578178
3441,3,481005
797,1,168375
5857,5,831740
1573,1,264244
1092,3,220966
1852,2,302882
3437,6,516959
2411,4,415541
4667,5,652865
3128,5,490213
3242,6,557660
1028,2,196227
4883,3,647663
2178,4,370364
1788,4,339076
4840,2,682918
4478,2,571714
1660,3,278309
3188,4,508661
3382,3,496424
3553,3,507471
3766,2,505379
2513,3,383702
4460,1,567117
604,1,138646
1581,2,278103
2847,6,505442
5842,1,808115
4119,4,582374
2072,3,352870
3707,6,563824
1090,1,186973
4199,2,604464
5640,1,787460
1262,1,219975
1403,6,319105
3783,3,520838
3867,3,581327
347,4,154342
3167,1,473515
1208,5,282498
435,1,118846
1428,5,289119
3638,1,526323
3007,2,459219
1698,3,279028
1887,3,334731
2204,6,408511
5044,4,674905
2449,6,432256
3794,2,505338
3832,5,558792
5048,3,747089
5253,6,719825
667,5,210345
4103,3,558420
1001,2,201819
5378,3,693855
4135,1,589864
5467,2,698701
4507,3,655393
3410,3,500787
5264,5,710839
2055,1,330701
776,3,178141
3496,2,469087
3793,3,544819
5057,5,770013
1030,3,216571
5481,5,823939
2555,4,424402
2139,4,348161
5094,5,712012
4503,2,648575
3371,3,492068
2251,5,383304
754,1,149156
5030,1,654089
442,2,127750
3252,1,448468
660,4,195044
4047,5,602097
4526,6,667011
1481,6,332567
3907,6,613381
1583,1,249394
4311,5,642136
5378,4,781184
2539,2,368190
5517,6,852180
2296,3,350212
343,2,120258
4873,5,692734
5540,2,691801
2753,2,423882
3521,6,584603
2281,3,368617
1673,3,290097
813,1,156074
982,5,229815
1576,5,300073
5500,6,840709
1205,6,276182
3715,4,585617
2122,4,360395
3998,4,621756
2856,4,454476
4251,4,645967
2418,1,365785
5290,3,757022
2071,6,392916
868,4,220596
1314,1,214999
4124,4,582614
2577,1,366365
3409,5,549458
5625,1,786077
5822,3,790575
2289,1,351251
2026,2,302421
5121,6,744160
3257,4,493451
5081,3,685515
5244,2,695012
4184,5,629877
3607,2,529502
579,3,163697
5561,1,723561
3794,1,516728
659,3,169774
1214,4,241649
2148,2,350978
1526,5,308372
5136,4,759638
1465,5,290949
1705,6,355565
2826,5,442773
4099,2,570957
2704,5,457657
2764,5,466606
5737,2,719041
3783,1,480015
2451,6,413459
3660,1,497901
5423,5,758503
3490,2,493952
2675,6,451524
1323,1,220290
2852,6,482480
4319,3,573946
3950,2,556686
4201,3,583449
1943,6,394189
3162,1,412558
4361,4,626175
5621,5,811919
3468,2,468430
2294,1,350448
1058,4,229275
4555,6,726780
2513,2,408282
4107,4,616796
4095,4,643694
1382,4,278778
4630,1,662677
4096,6,610412
